Album;Year;Type
Lobotomizer;1991;Full
Soothe;1992;Full
Demon Box;1993;Full
Timothy's Monster;1994;Full
Blissard;1996;Full
Angels and Daemons at Play;1997;Full
Trust Us;1998;Full
Let them eat Cake;2000;Full
Barracuda (minialbum);2001;Full
Phanerothyme;2001;Full
It's A Love Cult;2002;Full
Black Hole/Blank Canvas;2006;Full
Little Lucid Moments;2008;Full
Child Of The Future;2009;Full
Heavy Metal Fruit;2010;Full
The Death Defying Unicorn;2012;Full
Still Life With Eggplant;2013;Full
Behind the Sun;2014;Full
Here Be Monsters;2016;Full
The Tower;2017;Full
The Crucible;2019;Full
Maiden Voyage;1990;Demo
3 Songs for Rut;1992;Single
Mountain;1993;EP
Another Ugly EP;1993;EP
Wearing Yr Smell;1994;EP
Nerve Tattoo;1996;EP
Manmower;1996;EP
Sinful Wind-borne;1996;Single
Babyscooter;1997;EP
Lovelight;1997;EP
Have Spacesuit  Will Travel;1997;EP
Starmelt;1997;EP
Ozone;1998;EP
Hey Jane;1998;EP
The Other Fool;2000;EP
Walkin´ with J;2000;EP
Serpentine;2002;EP
Hyena;2006;Single
X-3;2010;Single
The Visitant;2010;Single
The California;2017;EP