Title;isCover;other_band_name;guitar_tab;album
Ace Of Spades;true;Motörhead;;
Adrenaline Buck;;;;
Afterglow;;;;Still Life With Eggplant
All Is Loneliness;true;Moondog;https://tabs.ultimate-guitar.com/tab/motorpsycho/all-is-loneliness-tabs-2882867;
Anna Johanna;;;;
Another Ugly Truth;;;;
Another Ugly Tune;;;;
Aquirre;true;Fenningen;;
Are You Ready;true;Grand Funk Railroad;;
Arne Hassle;;;;
As We Go Along;true;Carole King;;
August;true;Arthur Lee;https://tabs.ultimate-guitar.com/tab/motorpsycho/august-tabs-1671130;
A Light In The Black;true;Rainbow;;
A Pacific Sonata;;;;
A Shrug & A Fistful;;;;
A.S.F.E.;;;;
A Tussler Tune;;;;
Babylon;;;;
Baby Jesus II;;;;
Back To Source;;;;
Banshee;;;;
Barleycorn;;;;
Bartok Of The Universe;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/bartok-of-the-universe-tabs-2543550;
Beautiful Sister;;;;
Bedroom Eyes;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/bedroom-eyes-chords-1208202;
Before The Flood;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/before-the-flood-tabs-2003557;
“Bernstein”-jam;;;;
Big Black Dog;;;;
Big Surprise;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/big-surprise-tabs-2225953;
Black Magic Woman;true;Fleetwood Mac;;
Black To Comm;true;MC5;;
Black W’abbit;true;Alabama Kids;;
Blindfolded;;;;
Blueberry Daydream;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/blueberry-daydream-tabs-2018505;
Bonny Lee;;;;
Brave Captain;;;;
Brave Young Men;;;;
B.S.;;;;
Buggi I Ti;true;Paradisbukta;;
Burn;true;Deep Purple;;
California;;;;
California Dreamin’;true;The Mamas And Papas;;
Cannery Row;;;;
Can’t Find My Way Home;true;Steve Winwood;;
Change;;;;
Child Of The Future;;;;
Cinnamon Girl;true;Neil Young;;
Circles;;;;
Clock Parade;;;;
Close Your Eyes;true;;https://tabs.ultimate-guitar.com/tab/motorpsycho/close-your-eyes-chords-2004627;
Cloudwalker;true;;https://tabs.ultimate-guitar.com/tab/motorpsycho/cloudwalker-a-darker-blue-tabs-2027181;
Coalmine Pony;;;;
“Coleman”-jam part 1;;;;
“Coleman”-jam part 2;;;;
Come On In;true;;https://tabs.ultimate-guitar.com/tab/motorpsycho/come-on-in-chords-1995223;
Cornucopia;true;;https://tabs.ultimate-guitar.com/tab/motorpsycho/cornucopia-tabs-1670279;
Coventry Boy;true;;https://tabs.ultimate-guitar.com/tab/motorpsycho/coventry-boy-tabs-2884631;
Critical Mass;;;;
Custer’s Last Stand (One More Daemon);;;;
Dave Gave Up;;;;
Death Don’t Have No Mercy;true;The Grateful Dead;;
DekdektivenRøker Om Natten(Figga);true;Figga;;
Demon Box;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/demon-box-bass-43780;
Devil Dog;;;;
Dog Parade;;;;
Doldrums;;;;
Dominos;;;;
Don’t Look Around (Mountain);;;;
Dora Peach;;;;
Down By The River;true;Neil Young;;
Dreams (The Source);;;;
Dr. Hoffmann’s Bicycle;;;;
Drowsy Driver;true;Alabama Kids;;
Drug Thing;;;https://tabs.ultimate-guitar.com/tab/2020919;
Drum Solo;;;;
Du-Du-Du-Du;;;;
Eagle’s Son;true;The Pretty Things alias “The Electric Banana”;;
Ebony Queen;true;McCoy/Tyner;;
Englevinger(Namskogan);;;;
Entropy;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/entropy-tabs-1998943;
Evernine;;;;
Fade To Gray;;;;
Fairies Wear Boots;true;Black Sabbath;;
Feedtime;;;;
Feel;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/feel-tabs-2882873;
FiereFragmenter Av Lys OgSkygge (slight return);;;;
Find The Cost Of Freedom;true;Crosby;;
FinskeSkoger (The Source);;;;
577;;;;
Flesh Harrower;;;;
Flick Of The Wrist;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/flick-of-the-wrist-tabs-2891561;
Flotsam;;;;
Fondue (Inndalen) Buggi I Ti(Paradisbukta) Om Natta;;;;
Fool’s Gold;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/fools-gold-chords-2002643;
For Free;;;;
For Mad Men Only;true;May Blitz;;
Forget It;;;;
Four Day Creep;true;Humble Pie/Ida Cox;;
Fragmenter Av Lys OgSkygge;;;;
Frances;;;;
Friend Of The Devil ();true;The Grateful Dead;;
Go Around Once;;;;
Ghost;;;;
iftland;;;;
Gimme Shelter;true;The Rolling Stones;;
Glissglass (Følling);;;;
Glow;;;;
Gold And Silver;true;Quicksilver Messenger Service;;
Good Morning Little Schoolgirl;true;Sonny Boy Williamson II/Grateful Dead;;
Go To California;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/go-to-california-tabs-1668205;
Grandiosa;;;;
GrannyTakes A Trip;;;;
Greener;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/greener-tabs-2887643;
Green Manalishi;true;Fleetwood Mac;;
Grinder;;;;
Grindstone;;;;
Gullible’s Travails;;;;
Gutan I Skogen (Sol På Sunnan);;;;
Gutwrench;;;;
Halleluwah (Can);true;Can;;
Hallucifuge;;;;
Hallucination;;;;
Have Fun;;;;
Heartattack Mac;;;;
Heartbreaker;;;;
Heaven & Hell;true;The Who;;
Hell Part I - III;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/hell-part-1-2-tabs-1243043;
Hell Part I - VII;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/hell-part-1-2-tabs-1243043;
Hello There;true;Cheap Trick;;
Here Be Monsters;;;;
Hey;;;;
High Time;;;;
Hogwash;;;;
Home Of The Brave;;;;
Hot Burrito #2;true;Gram Parsons/ Flying Burrito Brothers;;
Hush;true;Deep Purple;;
Hyena;;;;
I Believe To My Soul;true;Ray Charles;;
I.C.U. (Boinganoid);;;;
I Know You Rider (traditional);;;;
I.M.S.;;;;
In A Silent Way;true;Miles Davis;;
In EveryDream Home;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/in-every-dream-home-tabs-2377971;
In Memory Of Elizabeth Reed (Allman Brothers);true;Allman Brothers;;
In Our Tree;;;;
In The Family;;;;
Insert Songtitle;;;;
Innersfree;;;;
Inside Looking Out;true;Grand Funk Railroad;;
Into The Gyre;;;;
Into The Mystic;;;;
Into The Sun;true;Grand Funk Railroad;;
Intrepid Explorer;;;;
Iron Frock;;;;
Iron Horse (Motörhead);;;;
I’ve Been Waiting For You;true;Neil Young;;
I Wanna Be Your Dog;true;The Stooges;;
It Will Never Be The Same-jam;;;;
Jaques Tati (Kongen’s Gate);;;;
Junior;;;;
Kang Ding Qinig Ge (Chinese traditional);;;;
Kebabel’s Tårn;;;;
Kill Devil Hills;;;;
Kill Some Day;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/kill-some-day-chords-2240481;
King Kong;true;Zappa;;
K9 Suite;;;;
Komæt;;;;
Kumbaya;;;;
Kvæstor;;;;
Lacuna/Sunrise;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/lacuna-sunrise-tabs-2033947;
Lake Innersfree;;;;
La Lethe;;;;
Landslide;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/landslide-official-2346109;
Leave It Like That;;;;
Lee Shore (Crosby;true;Crosby;;
Leslie’s Vest;;;;
Lighthouse Girl;;;;
Like Always;;;;
Like A Hurricane (Neil Young);true;Neil Young;;
Limbo (The Source);;;;
Little Lucid Moments;;;;
Little Ricky Massenburg;;;;
Loaded;;;;
Love In The Rain;true;Edgar Broughton Band;;
Love The One You’re With;true;Crosby;;
L.T.E.C. (Dèjá-Vulture Blues);;;;
Lumberjack;;;;
Lux Aeterna;;;;
Lykkepilgrim;;;;
Mad Sun;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/mad-sun-chords-2218569;
Mærrabotn (Fosen);;;;
Makes No Difference;true;The Band;;
Mammonumamikoma (Gi Me EnTidsklem’a);;;;
Manmower;;;;
Mantrick Muffin Stomp;;;;
Master Builder;true;Gong;;
Master Of The Universe;true;Hawkwind;;
Maybe I’m Amazed;true;McCartney;;
Metropolis;true;Motörhead;;
Mockingbird;;;;
Mountain;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/mountain-tabs-76946;
Mountain Jam;true;The Allman Brothers Band;;
Mr. Victim;;;;
Mr. Who;;;;
Muffin Man;true;Zappa;;
Mutiny!;;;;
My Best Friend;;;;
Mystery Train pt. 2;true;Steve Earle;;
Nå (The Source);;;;
Nathan Daniel’s Tune From Hawaii;;;;
Nature’s Way;true;Randy California/Spirit;;
Neanderthal;;;;
Neverland;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/neverland-tabs-2878148;
Never Let You Out;;;;
No Evil;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/no-evil-tabs-2018429;
No Grudges;;;;
Nothing To Say;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/nothing-to-say-tabs-2891216;
Now It’s Time To Skate;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/now-its-time-to-skate-chords-2003765;
Oh Proteus – A Lament;;;;
Oh Proteus – A Prayer;;;;
Old Man (Neil Young);;;;
Olemanns Kornett (The Source);;;;
On A Plate;;;;
On My Pillow;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/on-my-pillow-chords-2871101;
On The Toad Again;;;;
One More Daemon;;;;
One Way Or Another;;;;
1.000. 000 Years;;;;
Orgelfest Themes;;;;
Out Of The Woods;;;;
Ove Nyhavna(Falstadvalsen);;;;
Ozone;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/ozone-tabs-2884628;
Painting The Night Unreal;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/painting-the-night-unreal-chords-2100909;
Phoot’s Flower;;;;
Pidah’s Void;;;;
Pilgrim;true;Wishbone Ash;;
Pills;;;;
Plan # 1;;;;
President Block;true;Epinastic Movements;;
Psychonaut;;;;
Psychotzar;;;;
Punch;true;Patrik Fitzgerald;;
Pushrod Blues;;;;
Rad. Freq. 38.9;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/radiance-freq-tabs-2891612;
Raspberry Beret;true;Prince;;
Ratcatcher;;;;
Rattlesnake Shake;true;Fleetwod Mac;;
Revolution;true;The Beatles;;
Riding The Tiger;;;;
Rise Above;;;;
Roadhouse Blues;true;The Doors;;
Rock Bottom;true;UFO;;
Rocket USA;true;Suicide;;
Rockin’ In The Free World;true;Neil Young;;
Roger McGuinn;;;;
Røykeburet;true;Zebra;;
Running With Scissors;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/running-with-scissors-tabs-1993749;
Sail On;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/sail-on-tabs-2544918;
Samba Macintosh;;;;
Sancho Says;;;;
Satan Light (Namdalen);;;;
Satan 2 (Rungstadvatnet);;;;
Sculls In Limbo;;;;
Section 91;;;;
Serpentine;;;;
7th Dream;;;;
Shakin’ All Over;true;Johnny Kidd And The Pirates;;
Shalalala;;;;
Sharks;;;;
Sheer Heart Attack;true;Queen;;
Sheer Profoundity;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/sheer-profoundity-tabs-2885099;
She's A Lover;true;Pretty Things;;
She Left On The Sun Ship;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/she-left-on-the-sunship-tabs-2027203;
She Used To Be A Twin;;;;
Ship Of Fools;;;;
Sideway Spiral I;;;;
Sideway Spiral II;;;;
Sideway Spiral III;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/sideway-spiral-3-tabs-2009293;
Sideway Spiral IV;;;;
Sinful, Wind-Borne;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/sinful-wind-borne-power-307021;
Sirkelpust (Jørstadbrua);;;;
Sister Confusion;;;;
Six Days On The Road;true;Montgomery;;
Sleepwalking;;;;
Sleepwalking Again;;;;
Slide Jr;;;;
Snafu;;;;
Snah: I Nju Standard (Fiborgtangen);;;;
Snahkkord (Øyenskavelen);;;;
‘s Numbness;;;;
Sola Skinner;true;Jokke&Valentinerne;;
Some Real Mindfuck;;;;
Something I Learned Today;true;HüskerDü;;
Song For A Bro’;;;;
Sonnyboy Gaybar;;;;
So What?;true;Miles Davis;;
Space Is The Place-jam;true;Sun Ra;;
Space Is The Place-jam;true;Sun Ra;;
Space Truckin’;true;Deep Purple;;
Spaceways;;;;
Space Yr Face;;;;
Sparks;true;The Who;;
Spin;;;;
Stained Glass;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/stained-glass-tabs-1717627;
Stalemate;;;;
Star Dancer Vs Car Cancer;;;;
Stardust;;;;
Starhammer;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/starhammer-tabs-1498657;
Starless;true;King Crimson;;
Starmelt/Lovelight;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/starmelt-lovelight-tabs-2002791;
Star StarStar;;;;
Stay Young;true;Gallagher/Lyle;;
Step Inside;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/step-inside-tabs-2890133;
Step Inside Again;;;;
Sterling Says;;;;
S.T.G.;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/stg-tabs-1713889;
Strange Days;;;;
Summertime Blues;true;Eddie Cochran;;
Sunchild;;;;
Sungravy;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/sungravy-tabs-2005423;
Superstooge;;;;
Swiss Cheese Mountain;;;;
Syv Dager På Ekofisk (Balladen Om Red Adair Og Boots Hansen);;;;
Taifun;;;;
Tåke På Fjorden/Rinnan Kjæm;;;;
Tango (Fagerbakken);;;;
Taterhjulets Gnaur (Majavatn);;;;
Terje’s Sang (Bøla);;;;
TFC;;;;
The Ace;;;;
The Afterglow;;;;
The Alchemyst;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/the-alchemyst-tabs-1459289;
The Ballad Of Pat & Put;;;;
The Bomb-Proof Roll And Beyond;;;;
The Crucible;;;;
The Cuckoo;;;;
The Elbow Song;;;;
The Getaway Special;;;;
The Girl On Heaven Hill;true;HüskerDü;;
The Golden Core;;;;
The Hollow Lands;;;;
The House At Pooneil Corners;true;Jefferson Airplane;;
The Jig Is Up (Kiss The Snake);;;;
The Light Fantastic;;;;
The Matter With Her;;;;
The Maypole;;;;
The Mirror & The Lie;;;;
The Nerve Tattoo;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/the-nerve-tattoo-official-2342101;
The Ocean In Her Eye;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/the-ocean-in-her-eye-tabs-2242063;
The One Who Went Away;;;;
The Other Fool;;;;
The Other One;true;The Grateful Dead;;
The OtherOther Fool;;;;
The Ozzylot;;;;
The Promise;;;;
The Road To Knowing;;;;
The Sift;;;;
The Skies Are Full Of … Wine?;;;;
The Slow Phaseout;;;;
The 3rd;;;;
The 29th Bulletin;;;;
The Tower;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/the-tower-tabs-2225951;
The Trane Instrumental;;;;
The Visitant;;;;
The Wait;;;;
The Waiting Game;;;;
The Wheel;;;;
The Witch;true;The Rattles;;
The World;;;;
Theme De Yo-Yo;true;The Art Ensemble Of Chicago;;
30/30;;;;
Thrill Is Gone;true;Van Morrison;;
Through The Veil;;;;
Timothy In The Magic City;;;;
Timothy’s Monster;;;;
Torbjøm’s Eurytmi (Rungstadvatnet);;;;
Toys;;;;
Trapdoor;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/trapdoor-chords-1994975;
Triggerman;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/triggerman-tabs-2544474;
Tristano;;;;
Trixeene;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/with-trixeene-through-the-mirror-i-dream-with-open-eyes-chords-2005905;
True Middle;;;;
Trylleball (Sannan);;;;
Tuesday Morning;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/tuesday-morning-tabs-2884634;
Tunji (John Coltrane);;;;
21st Century Schizoid Man;true;King Crimson;;
Überwagner Or A Billion Bubbles In My Mind;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/uberwagner-or-a-billion-bubbles-in-my-mind-tabs-2018461;
Un Chien D’Espace;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/un-chien-despace-tabs-2852405;
Up Our Sleeves;true;Humble Pie;;
Upstairs/Downstairs;;;;
Ut Av Byen;;;;
Vanishing Point;;;;
Vertigo;;;;
Very 90’s;;;;
Victim Of Rock;;;;
Viggo’s Wet Dream;;;;
Voodoo Chile;true;Jimi Hendrix;;
Vortex Surfer;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/vortex-surfer-guitar-pro-1967909;
Waiting For The One;;;;
Walkin’ With J.;;;;
Walking On The Water;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/walking-on-the-water-tabs-122631;
Walk On Guilded Splinters;true;Dr. John;;
Watching You (Kiss);;;;
Watersound;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/watersound-tabs-2005085;
W.B.A.T.;;;;
We Are The Roadcrew;true;Motörhead;;
Wearing Yr Smell;;;;
We Travel The Spaceways;true;Sun Ra;;
Wharf Rat;true;Grateful Dead;;
What Goes On;true;The Velvet Underground;;
What If…;;;;
When You’re Dead;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/when-youre-dead-chords-2020279;
Whip That Ghost;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/whip-that-ghost-song-for-a-bro-tabs-2885714;
Whiskey And Rock ‘n’ Roll;true;The Insect Machine;;
Who Gave You Love;true;Zakarrias;;
Whole Lotta Diana;;;;
Willow Tree;;;;
Will Power;;;;
Wishing Well;;;;
Words Of Wisdom;;;;
Working For MCA;true;Lynyrd Skynyrd;;
X-3/The Getaway Special;;;;
Year Zero;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/year-zero-a-damage-report-guitar-pro-1495336;
You Gave It All Away;;;;
You Lied;;;;
You Lose;;;;
Young Man Blues;true;Mose Allison;;
You Shouldn’t Do That;true;Hawkwind;;
You’ve Got To Hide Your Love Away;true;The Beatles;;
? little jazzy thing (Luxembourg 03.10.19);;;;